Code,Title,Brand,Model,Price,Category
888943,"""Geladeira/Refrigerador Consul Frost Free Duplex""","""consul""","""437L Bem Estar CRM55ABANA Branco""",2299.9,ed
130751,"""Geladeira/Refrigerador Consul Frost Free Duplex""","""consul""","""386L CRM43NBANA Branco""",1949.9,ed
2029573,"""Geladeira/Refrigerador Consul Cycle Defrost""","""consul""","""Duplex 334L CRD37EBANA Branco""",1489.9,ed
130001,"""Geladeira/Refrigerador Consul Frost Free Evox""","""consul""","""Duplex 386L CRM43NKANA""",2169.9,ed
100593,"""Geladeira/Refrigerador Electrolux Frost Free Inox""","""electrolux""","""Duplex 380L Painel Touch DW42X11089""",2399.9,ed
130119,"""Geladeira/Refrigerador Consul Frost Free Duplex""","""consul""","""441L Bem Estar CRM54BBANA Branco""",2219.9,ed
100382,"""Geladeira Consul Frost Free 300L""","""consul""","""Facilite CRB36ABANA Branco""",1449,ed
130821,"""Geladeira/Refrigerador Brastemp Frost Free Inverse""","""brastemp""","""443L BRE57AKANA Evox""",3449.9,ed
2180394,"""Geladeira/Refrigerador Electrolux Frost Free ""","""electrolux""","""Duplex 463L Painel Blue Touch TF52 Branco""",2399.9,ed
130999,"""Geladeira/Refrigerador Electrolux Frost Free Inox""","""electrolux""","""Duplex 382L DF42X""",2279.9,ed
100598,"""Geladeira/Refrigerador Electrolux Frost Free""","""electrolux""","""Duplex 382L DF42 Branco""",2059.9,ed
130701,"""Geladeira/Refrigerador Electrolux 240L RE31""","""electrolux""","""Branco""",1169.9,ed
130817,"""Geladeira/Refrigerador Brastemp Frost Free Inverse""","""brastemp""","""443L Painel Touch BRE57ABANA Branco""",2999.9,ed
130403,"""Geladeira/Refrigerador Panasonic Frost Free ""","""panasonic""","""Duplex 387L re generation NR-BT40BD1W Branco""",1899.9,ed
130815,"""Geladeira/Refrigerador Brastemp Frost Free  ""","""brastemp""","""Duplex 400L BRM54HBANA Branco""",2499.9,ed
130807,"""Geladeira/Refrigerador Electrolux Frost Free  ""","""electrolux""","""Duplex 371L DFN41 Branca""",1979.9,ed
130829,"""Geladeira/Refrigerador Brastemp Frost Free Inox""","""brastemp""","""Duplex 462L Painel Touch BRM56AKANA""",3369.9,ed
130205,"""Frigobar Consul 76L Branco""","""consul""","""CRC08""",859.9,ed
130811,"""Geladeira/Refrigerador Consul Frost Free Duplex ""","""consul""","""441L CRM54BK Evox""",2399.9,ed
2180396,"""Geladeira/Refrigerador Electrolux Frost Free Inox""","""electrolux""","""Duplex 463L Painel Blue Touch TF52X""",2949.9,ed
130813,"""Geladeira/Refrigerador Electrolux Frost Free Inox ""","""electrolux""","""French Door 579L Multidoor DM84X""",5099.9,ed
842467,"""Geladeira Brastemp Frost Free Evox""","""brastemp""","""Inverse 540,6L Ative! BRO80AK""",5149.9,ed
130823,"""Geladeira/Refrigerador Brastemp Frost Free Duplex ""","""brastemp""","""462L BRM56ABANA Branca""",2999.9,ed
130844,"""Geladeira/Refrigerador Panasonic Frost free  ""","""panasonic""","""Inverser 425L BB53""",3279.9,ed
9164765,"""Frigobar Brastemp 76L Azul""","""brastemp""","""Retrô""",1359.9,ed
130203,"""Geladeira/Refrigerador Consul Frost Free Evox""","""consul""","""Duplex 437L Bem-Estar CRM55AKANA""",2649.9,ed
842324,"""Geladeira/Refrigerador Consul Frost Free Duplex""","""consul""","""405L Bem Estar Painel Touch CRM52ABANA Branco""",2269.9,ed
2181792,"""Geladeira/Refrigerador Brastemp Frost Free Duplex ""","""brastemp""","""478L BRM59AB Branco""",3199.9,ed
100684,"""Geladeira/Refrigerador Brastemp Frost Free 573L""","""brastemp""","""Ative! Inverse Maxi BRE80ABANA Branco""",3599.9,ed
130819,"""Geladeira/Refrigerador Brastemp Frost Free Evox""","""brastemp""","""Duplex 400L BRM54HKANA""",2849.9,ed
130805,"""Geladeira/Refrigerador Electrolux Frost Free Inox ""","""electrolux""","""Bottom Freezer 454L Painel Blue Touch DB53X""",3349.9,ed
130155,"""Geladeira/Refrigerador Electrolux Frost Free""","""electrolux""","""Duplex 433L TF51 Branco""",2399.9,ed
2104582,"""Geladeira/Refrigerador Consul Cycle Defrost Duplex""","""consul""","""450L CRD49ABANA Branco""",2149.9,ed
888278,"""Frigobar Brastemp 76L Preto""","""brastemp""","""Retrô BRA08AE""",1159.9,ed
100591,"""Geladeira/Refrigerador Electrolux Cycle Defrost""","""electrolux""","""Duplex 462L DC49A11006 Branco""",2159.9,ed
888797,"""Geladeira/Refrigerador Consul Frost Free Evox""","""consul""","""Duplex 405L CRM51AKANA""",2459.9,ed
9165828,"""Frigobar Brastemp 76L Preto ""","""brastemp""","""com Porta de Vidro BZA08""",1549.9,ed
2190581,"""Geladeira/Refrigerador Electrolux Frost Free Inox ""","""electrolux""","""Duplex 427L Painel Touch DF53X""",2949.9,ed
2162986,"""Geladeira/Refrigerador Electrolux Cycle Defrost""","""electrolux""","""Duplex 475L Inox Multi Flow System DC51X""",2669.9,ed
130835,"""Geladeira/Refrigerador Electrolux Frost Free Inox""","""electrolux""","""Duplex 459L Painel Blue Touch DF54X""",3069.9,ed
2180380,"""Geladeira/Refrigerador Samsung Frost Free ""","""samsung""","""French Door Inox 441L RF62HERS1/AZ""",4899.9,ed
2190258,"""Frigobar Midea 124L Branco""","""midea""","""MRC12B1""",789.9,ed
9233822,"""Frigobar Brastemp 76L Vermelho""","""brastemp""","""Retrô BRA08A""",1169.9,ed
130207,"""Frigobar Consul 117L Branco""","""consul""","""CRC12""",869.9,ed
2190254,"""Frigobar Midea 45L Branco ""","""midea""","""MRC06B1""",679.9,ed
130003,"""Geladeira/Refrigerador Electrolux Frost Free Inox""","""electrolux""","""Duplex 433L Painel Blue Touch TF51X""",2799.9,ed
130213,"""Geladeira Brastemp Frost Free Evox""","""brastemp""","""Inverse 573L Ative! Maxi BRE80AKANA""",4319.9,ed
130833,"""Geladeira/Refrigerador Electrolux Frost Free ""","""electrolux""","""Duplex 459L Painel Blue Touch DF54 Branco""",2799.9,ed
2189723,"""Geladeira/Refrigerador Electrolux Inox Frost Free ""","""electrolux""","""Duplex 553L Painel Blue Touch DF82X""",3799.9,ed
2181796,"""Geladeira/Refrigerador Brastemp Frost Free Inverse""","""brastemp""","""478L BRE58AK Evox""",3799.9,ed
2190579,"""Geladeira/Refrigerador Electrolux Frost Free""","""electrolux""","""Duplex 427L Painel Touch DF53 Branco""",2699.9,ed
100613,"""Geladeira/Refrigerador Consul 239L ""","""consul""","""CRD49AKBNA Platinum""",1299,ed
2188354,"""Geladeira/Refrigerador Samsung Frost Free Inox""","""samsung""","""French Door 606L RF28HMEDBSR/AZ""",10599.9,ed
9171532,"""Frigobar Brastemp 76L Branco""","""brastemp""","""Retrô""",1499.9,ed
9100292,"""Geladeira/Refrigerador Brastemp Frost Free Inverse""","""brastemp""","""540,6L Ative! BRO80AEANA Preto""",5799,ed
2181794,"""Geladeira/Refrigerador Brastemp Frost Free Inverse""","""brastemp""","""478L BRE58AB Branco""",3399.9,ed
130837,"""Geladeira/Refrigerador Electrolux Frost Free""","""electrolux""","""Duplex 553L Infinity Frost Painel Touch DF82""",3589.9,ed
2181798,"""Geladeira/Refrigerador Brastemp Frost Free Inverse""","""brastemp""","""460L BRE59AB Branco""",3699.9,ed
2190575,"""Geladeira/Refrigerador Electrolux Frost Free Inox""","""electrolux""","""598L DB84X""",4299.9,ed
2190577,"""Geladeira/Refrigerador Electrolux Frost Free Inox""","""electrolux""","""Duplex 456L  DW54X""",3249.9,ed
842326,"""Geladeira/Refrigerador Consul Frost Free Evox""","""consul""","""Duplex 405L Bem Estar Painel Touch CRM52AKANA""",2499.9,ed
2134456,"""Geladeira/Refrigerador Samsung Inox Side by Side""","""samsung""","""765L Dispenser de Água Food ShowCase H77H90507H/AZ""",12999.9,ed
2181787,"""Geladeira/Refrigerador Brastemp Frost Free Duplex ""","""brastemp""","""500L BRM58AB Branco""",2999.9,ed
130825,"""Geladeira/Refrigerador Brastemp Frost Free Evox""","""brastemp""","""Duplex Inverse 460L Painel Touch BRE59AK""",4599.9,ed
130856,"""Geladeira/Refrigerador Brastemp Frost Free Duplex""","""brastemp""","""Branca 374L BRM44HBANA""",2299,ed
130831,"""Geladeira/Refrigerador Brastemp Frost Free Duplex""","""brastemp""","""478L Painel Touch BRM59AKANA Evox""",4239.9,ed
2188355,"""Geladeira/Refrigerador Samsung Frost free ""","""samsung""","""575L Food ShowCase Dispenser de Água RH58K""",9999.9,ed
2181789,"""Geladeira/Refrigerador Brastemp Frost Free Duplex ""","""brastemp""","""500L BRM58AK Evox""",3699.9,ed
2128758,"""Geladeira/Refrigerador Panasonic Frost Free Duplex""","""panasonic""","""435L re Generation NR-BT49PV2XA Aço escovado""",2899.9,ed
842679,"""Geladeira/Refrigerador Brastemp Frost Free Evox""","""brastemp""","""Inverse 540L Ative! Painel Touch BRN80AKANA""",6999.9,ed
2190573,"""Geladeira/Refrigerador Electrolux Frost Free""","""electrolux""","""598L DB84 Branco""",3999.9,ed
130803,"""Geladeira/Refrigerador Electrolux Frost Free  ""","""electrolux""","""Bottom Freezer 454L Painel Blue Touch DB53 Branca""",3099.9,ed
2180376,"""Geladeira/Refrigerador Samsung Frost Free Inox""","""samsung""","""French Door 536L Dispenser de Água RF23HCEDBSR/AZ""",10499.9,ed
130857,"""Geladeira/Refrigerador Brastemp Frost Free Duplex""","""brastemp""","""374L BRM44HKANA""",2559,ed
8484493,"""Geladeira/Refrigerador Brastemp Frost Free""","""brastemp""","""Side by Side 560L BRS62CBANA Branco""",7349.9,ed
2190071,"""Geladeira/Refrigerador LG Frost Free Side by Side""","""lg""","""601L Painel Touch New Lancaster GS65SDN""",9999.9,ed
130842,"""Geladeira/Refrigerador Panasonic Frost free  ""","""panasonic""","""Inverse 425L BB53""",2999.9,ed
842465,"""Geladeira/Refrigerador Brastemp Frost Free Inverse""","""brastemp""","""540,6L Ative! BRO80AB Branco""",4699.9,ed
2191266,"""Geladeira/Refrigerador Panasonic Frost Free 592L""","""panasonic""","""Dispenser de Água NR-CB74PV1XA Aço Escovado""",10199.9,ed
2001980,"""Frigobar Brastemp 120L Preta e Branca""","""brastemp""","""com Porta de Vidro BZA12AF""",1899,ed
9204627,"""Geladeira/Refrigerador Brastemp Frost Free Evox""","""brastemp""","""Inverse 565L Maxi BRV80AKANA""",5299.9,ed
8404684,"""Geladeira/Refrigerador Brastemp Inox Side by Side""","""brastemp""","""539L c/ Dispenser de Água Gourmand BRS75""",12899.9,ed
100386,"""Geladeira/Refrigerador Consul Frost Free 1 Porta""","""consul""","""300L c/ Dispenser Facilite CRG36""",1539.9,ed
8426449,"""Geladeira/Refrigerador Brastemp Frost Free Inox""","""brastemp""","""Side by Side 560L Dispenser de Água BRS62CR""",10999,ed
6183550,"""Refrigerador Electrolux 462 Litros Duplex Cycle Defrost DC49A""","""ELECTROLUX""","""""",2359.9,ed
6734900,"""Refrigerador Brastemp Duplex Frost Free Evox 127V 500L BRM58AK""","""Brastemp""","""""",3677.9,ed
6252272,"""Refrigerador Gorenje Ora-Ïto White 2 Portas 329 Litros Branco 220V NRKORA62W""","""Gorenje""","""""",None,ed
6491882,"""Auto Serviço Bebidas Gallant Premium 2000mm Vidro Duplo Simples 3P Mármore/Inox Ar Forçado 220v Mono""","""Gallant""","""""",8700.99,ed
6335512,"""Auto Serviço Frios e Laticínios Gallant Plus 1200mm VD Simples 2Portas PPB/Inox Ar Forçado 220v Mono""","""Gallant""","""""",5750.98,ed
6099273,"""Auto Serviço Congelados Gallant Premium 2000mm Vidro Duplo 3P Mármore/Inox Ar Forçado 220V Mono""","""Gallant""","""""",18539.75,ed
6026693,"""Auto Serviço Frios e Laticínios Gallant Premium 2000mm VD Simples 3P Marm/inox Ar Forc 220v Mono""","""Gallant""","""""",7518.72,ed
6466941,"""Geladeira Açougue Congelados com Gancheira em Inox 600 kg 2 Portas 220V Mono  Gallant""","""Gallant""","""""",11077.83,ed
6621503,"""Geladeira Comercial Resfriado de Inox 6 Portas 1.290 Litros 220V Mono - Gallant""","""Gallant""","""""",11451.34,ed
6875907,"""Geladeira Comercial Resfriado de Inox 6 Portas 1.290 Litros 220V Mono - Gallant""","""Gallant""","""""",6479,ed
6154501,"""Geladeira Comercial para Congelados Gallant Inox 4 Portas 220v Mono GRE09C04A-IX220""","""Gallant""","""""",8461.83,ed
6338757,"""Geladeira Açougue Congelado com Gancheira em Inox 800 kg 2 Portas 220V Mono  Gallant""","""Gallant""","""""",12011.88,ed
6977271,"""Auto Serviço para Frios e Laticínios Gallant Plus 3000mm VD Simples 5P PPB/Inox Ar Forçado 220v Mono""","""Gallant""","""""",11053.77,ed
6678941,"""Geladeira para Carnes e Congelados 1200kg Gallant Inox 1 Porta 220v Mono GRE41C01A-IX220""","""Gallant""","""""",16720.39,ed
6901158,"""Geladeira Comercial para Resfriados Gallant Inox 4 Portas 220v Mono GRE09R04A-IX220""","""Gallant""","""""",4815.45,ed
6027348,"""Auto Serviço para Bebidas Gallant Plus 2000mm Vidro Duplo Simples 3P PPB/Inox Ar Forçado 220v Mono""","""Gallant""","""""",8327.3,ed
